Total Nacional;Comunidades y Ciudades Autónomas;Superficie útil de la vivienda;Tamaño del hogar;periodo;Total
Total Nacional;;Más de 150 m2;8 personas o más;2020;21,1
Total Nacional;;Más de 150 m2;8 personas o más;2019;13,9
Total Nacional;;Más de 150 m2;8 personas o más;2018;6,7
Total Nacional;;Más de 150 m2;8 personas o más;2017;3,3
Total Nacional;;Más de 150 m2;8 personas o más;2016;5,5
Total Nacional;;Más de 150 m2;8 personas o más;2015;5,8
Total Nacional;;Más de 150 m2;8 personas o más;2014;3,9
Total Nacional;;Más de 150 m2;8 personas o más;2013;4,6
Total Nacional;Andalucía;Total;Total;2020;3.257,7
Total Nacional;Andalucía;Total;Total;2019;3.229,9
Total Nacional;Andalucía;Total;Total;2018;3.208,4
Total Nacional;Andalucía;Total;Total;2017;3.202,7
Total Nacional;Andalucía;Total;Total;2016;3.197,7
Total Nacional;Andalucía;Total;Total;2015;3.180,6
Total Nacional;Andalucía;Total;Total;2014;3.163,4
Total Nacional;Andalucía;Total;Total;2013;3.135,0
Total Nacional;Andalucía;Total;1 persona;2020;789,7
Total Nacional;Andalucía;Total;1 persona;2019;767,0
Total Nacional;Andalucía;Total;1 persona;2018;751,3
Total Nacional;Andalucía;Total;1 persona;2017;742,9
Total Nacional;Andalucía;Total;1 persona;2016;736,0
Total Nacional;Andalucía;Total;1 persona;2015;723,4
