Comunidades y Ciudades Autónomas,Tipo Vivienda,Tipo Indicador,Periodo,Total
01 Andalucía,Vivienda nueva,Variación trimestral,2008T3,2.3
01 Andalucía,Vivienda nueva,Variación trimestral,2008T2,0.8
01 Andalucía,Vivienda nueva,Variación trimestral,2008T1,0.2
01 Andalucía,Vivienda nueva,Variación trimestral,2007T4,3.5
01 Andalucía,Vivienda nueva,Variación trimestral,2007T3,3.3
01 Andalucía,Vivienda nueva,Variación trimestral,2007T2,2.8
01 Andalucía,Vivienda nueva,Variación trimestral,2007T1,4.3
01 Andalucía,Vivienda nueva,Variación anual,2025T1,15.3
01 Andalucía,Vivienda nueva,Variación anual,2024T4,17.5
01 Andalucía,Vivienda nueva,Variación anual,2024T3,13.8
01 Andalucía,Vivienda nueva,Variación anual,2024T2,13.4
01 Andalucía,Vivienda nueva,Variación anual,2024T1,11.5
01 Andalucía,Vivienda nueva,Variación anual,2023T4,5.3
01 Andalucía,Vivienda nueva,Variación anual,2023T3,11.9
01 Andalucía,Vivienda nueva,Variación anual,2023T2,5.9
01 Andalucía,Vivienda nueva,Variación anual,2023T1,5.9
01 Andalucía,Vivienda nueva,Variación anual,2022T4,8.7
01 Andalucía,Vivienda nueva,Variación anual,2022T3,6.5
01 Andalucía,Vivienda nueva,Variación anual,2022T2,11.2
01 Andalucía,Vivienda nueva,Variación anual,2022T1,12.5
01 Andalucía,Vivienda nueva,Variación anual,2021T4,7.6
01 Andalucía,Vivienda nueva,Variación anual,2021T3,7.0
01 Andalucía,Vivienda nueva,Variación anual,2021T2,5.6
01 Andalucía,Vivienda nueva,Variación anual,2021T1,6.2
01 Andalucía,Vivienda nueva,Variación anual,2020T4,9.4
01 Andalucía,Vivienda nueva,Variación anual,2020T3,5.8
01 Andalucía,Vivienda nueva,Variación anual,2020T2,6.9
01 Andalucía,Vivienda nueva,Variación anual,2020T1,7.4
01 Andalucía,Vivienda nueva,Variación anual,2019T4,6.5
01 Andalucía,Vivienda nueva,Variación anual,2019T3,9.4
